21,41
4,18
24,28
37,2
13,60
29,39
23,5
19,1
22,2
5,52
32,32
37,32
11,3
15,9
40,51
20,48
35,24
37,56
20,12
21,49
8,30
18,15
5,16
35,7
4,28
4,15
6,1
38,31
14,54
27,25
9,14
36,47
13,60
4,37
35,17
7,38
25,50
3,12
18,21
30,48
39,29
21,38
21,21
28,16
14,12
11,53
19,10
40,19
36,31
6,51
32,7
11,20
21,33
16,33
33,1
16,17
9,15
73,71
90,62
73,87
56,92
71,83
52,98
67,69
93,86
53,92
81,71
50,95
75,97
76,62
45,78
43,61
67,66
78,61
53,66
98,83
77,82
79,86
93,71
52,100
82,79
96,82
75,65
49,89
46,84
73,96
57,79
41,70
79,92
78,100
72,69
40,67
94,84
93,94
84,81
81,76
71,64
64,98
74,77
75,72
58,78
62,87
84,76
91,87
48,97
100,95
40,64
81,64
65,92
55,90
75,69
89,99
85,66
99,60
88,91
83,91
61,93
68,92
65,70
90,66
98,73
60,88
79,49
13,67
64,98
71,8
51,34
83,28
84,24
47,21
21,47
64,6
80,36
93,23
65,24
94,25
47,52
53,8
51,55
61,19
83,32
92,41
59,31
55,40
53,16
63,1
47,18
85,37
83,22
86,15
94,2
73,34
54,41
81,55
99,26
48,49
76,47
77,36
64,37
77,11
56,6
80,34
50,53
70,38
51,17
64,60
42,11
50,4
47,19
75,3
60,45
80,17
80,38
46,14
59,15
46,1
51,16
100,20
93,5
53,3
53,12
58,17
45,13
62,41
27,88
13,7
44,9
59,31
81,42
44,33
65,39
9,99
48,4
100,64
1,25
40,85
25,86
64,68
40,44
94,9
55,91
65,67
40,88
69,55
9,16
31,54
21,2
10,94
51,81
84,11
45,71
95,87
56,10
17,43
62,3
14,4
57,41
53,66
41,20
91,55
9,63
84,73
98,77
49,88
91,98
73,91
83,96
95,76
92,64
45,84
81,60
63,70
71,96
94,93
96,99
57,75
61,78
64,91
86,100
61,64
58,72
68,70
60,68
94,61
50,100
87,79
41,89
75,78
71,75
81,100
44,85
46,83
96,77
45,92
87,64
54,66
46,71
90,17
92,32
71,16
63,20
100,15
63,29
75,18
81,40
70,6
91,34
63,27
79,1
61,37
82,18
88,10
73,15
98,38
72,40
82,21
67,9
98,16
96,33
69,2
62,17
76,23
80,7
91,19
62,38
66,18
66,39
100,15
84,15
72,39
92,33
65,32
62,27
100,30
66,11
73,37
99,18
92,32
65,32
91,31
92,32
60,29
78,5
97,38
63,21
92,28
79,6
2,8
11,60
20,41
12,19
36,42
10,11
37,34
1,37
3,30
3,9
36,29
15,38
16,52
6,46
28,43
22,3
26,23
8,39
20,10
34,57
7,55
8,36
27,41
17,43
11,38
31,32
30,36
32,38
23,17
35,58
13,58
3,39
33,47
26,7
39,20
11,40
34,36
29,35
5,18
29,16
39,19
18,23
26,47

